split,feature,days,ic_mean,rank_ic_mean,rank_icir,rank_ic_positive_rate
test,lag1_net_mf_strength_20d_mean,329,0.06107533169739187,0.02249057575119088,0.11653606286252162,0.5440729483282675
test,lag1_net_mf_strength_60d_mean,329,0.06371391619757989,0.02472189776126499,0.12410837155599153,0.5319148936170213
test,lag1_close_position,329,0.0025862856757111687,-0.003787595305805607,-0.021979113561962724,0.513677811550152
test,lag1_excess_ret_10d_mean,329,0.01900522026517557,-0.03708774655615673,-0.1978819323866701,0.44376899696048633
test,lag1_excess_ret_1d,329,-0.0008277404646792918,-0.008091841186489977,-0.04055458191986185,0.46808510638297873
test,lag1_excess_ret_5d_mean,329,0.013797222696367415,-0.025312074612360565,-0.1227767263315569,0.42857142857142855
test,lag1_industry_neutral_ret_1d,329,0.0061807705345238,-0.010292506821532484,-0.08298946188079058,0.45896656534954405
test,lag1_ret_1d,329,-0.0006704114001182622,-0.007948770755289759,-0.03983881356875859,0.47112462006079026
test,lag1_ret_20d,329,0.02507455319963056,-0.028224033418567593,-0.14013537636163487,0.45288753799392095
test,lag1_ret_5d_mean,329,0.014341268514916473,-0.024809815643140425,-0.12020681979352676,0.42857142857142855
test,lag1_bollinger_z_20d,329,0.008187088476124338,-0.02899472717975141,-0.15257856281213575,0.4194528875379939
test,lag1_ma_ratio_20_60,329,0.04370027763592955,0.0014538451743762676,0.0066205923635614975,0.547112462006079
test,lag1_macd_hist,329,-0.007983058380459013,-0.018470998804236822,-0.09920629428318643,0.46200607902735563
train,lag1_net_mf_strength_20d_mean,1650,0.008016003620792488,0.0047551335596335165,0.023588339169704917,0.5175757575757576
train,lag1_net_mf_strength_60d_mean,1650,0.013912581462017785,0.019434445995881885,0.0901995063845532,0.5393939393939394
train,lag1_close_position,1650,-0.016109066074070408,-0.014228395079363904,-0.08745606807158866,0.4763636363636364
train,lag1_excess_ret_10d_mean,1650,-0.022418548071959435,-0.026120397073149518,-0.13509705731917368,0.45696969696969697
train,lag1_excess_ret_1d,1650,-0.02134705217977422,-0.01829471246011079,-0.10358034543222774,0.4721212121212121
train,lag1_excess_ret_5d_mean,1650,-0.02818004984429832,-0.030743248583608357,-0.1635203939352962,0.4393939393939394
train,lag1_industry_neutral_ret_1d,1650,-0.019707150050186726,-0.015720474657328648,-0.11902476615446848,0.4696969696969697
train,lag1_ret_1d,1650,-0.02132102323770788,-0.018270010861732716,-0.10352775888831177,0.4721212121212121
train,lag1_ret_20d,1650,-0.021585143866067833,-0.027022136546594053,-0.13788774402827467,0.4490909090909091
train,lag1_ret_5d_mean,1650,-0.0279631539354649,-0.03054771359093734,-0.16234299950467118,0.4387878787878788
train,lag1_bollinger_z_20d,1650,-0.025507383714033525,-0.029489102275408883,-0.15528540722273593,0.45636363636363636
train,lag1_ma_ratio_20_60,1650,-0.008958678980475383,-0.01296986944800251,-0.06461579802781008,0.47515151515151516
train,lag1_macd_hist,1650,-0.008048445290071636,-0.015057369570338604,-0.08523623202540832,0.4696969696969697
validation,lag1_net_mf_strength_20d_mean,484,0.008452081890736915,-0.002268012438934147,-0.01353313836513978,0.5082644628099173
validation,lag1_net_mf_strength_60d_mean,484,0.002223183963165407,-0.004878043858471573,-0.027916896441417434,0.49586776859504134
validation,lag1_close_position,484,-0.0038659725020061576,0.0022854758911223043,0.014103821770057869,0.512396694214876
validation,lag1_excess_ret_10d_mean,484,-0.008328459694446616,-0.015734050767077526,-0.08036667500714183,0.47107438016528924
validation,lag1_excess_ret_1d,484,-0.0010998589761982774,0.0012486594796016885,0.006457820069165163,0.5268595041322314
validation,lag1_excess_ret_5d_mean,484,-0.0078800236991222,-0.011805945601725846,-0.060957114712877604,0.4607438016528926
validation,lag1_industry_neutral_ret_1d,484,-0.0057550578799337865,-0.009176929175032806,-0.0719701432388005,0.49173553719008267
validation,lag1_ret_1d,484,-0.001012231171574401,0.0013135839819705959,0.006795401794258543,0.5289256198347108
validation,lag1_ret_20d,484,-0.0069902028783431595,-0.020082860708307653,-0.09635910247433653,0.4731404958677686
validation,lag1_ret_5d_mean,484,-0.007954298152140346,-0.011938955000901575,-0.06162711614037686,0.4607438016528926
validation,lag1_bollinger_z_20d,484,-0.0068235017625162325,-0.015984807861158565,-0.08691204498402122,0.4524793388429752
validation,lag1_ma_ratio_20_60,484,0.01264172945000926,-0.011432454252404235,-0.0562152056714794,0.4731404958677686
validation,lag1_macd_hist,484,-0.011230904381475407,-0.013418800513298858,-0.07770680541372128,0.4669421487603306
