comparison,run,split,rows,dates,score_corr_with_other,ic_mean,rank_ic_mean,rank_icir
legacy62_strictmask_common_with_old,old_on_clean_common,test,25947,329,0.4238419531878179,0.050998098168288174,0.05615818130719676,0.37355219177735105
legacy62_strictmask_common_with_old,legacy62_strictmask,test,25947,329,0.4238419531878179,-0.000576784447493392,0.01694281215634984,0.13754009545068976
legacy62_strictmask_common_with_old,old_on_clean_common,validation,40503,484,0.4539831974732649,0.019311993915834394,0.023359907172962623,0.1546573378732444
legacy62_strictmask_common_with_old,legacy62_strictmask,validation,40503,484,0.4539831974732649,0.01954351596922833,0.03351089839429146,0.2718614003060703
new_alpha13_common_with_old,old_on_clean_common,test,25948,329,0.2804092629116279,0.05102238877709652,0.05622752866007113,0.3741401935381304
new_alpha13_common_with_old,new_alpha13,test,25948,329,0.2804092629116279,0.003530256114044483,0.028808397370840958,0.17803590834386915
new_alpha13_common_with_old,old_on_clean_common,validation,40504,484,0.26473189779675393,0.019312288055548587,0.023360296970495874,0.15465987736200623
new_alpha13_common_with_old,new_alpha13,validation,40504,484,0.26473189779675393,0.026918570737763107,0.03286038286793174,0.20209470203896937
new_alpha18_resid_common_with_old,old_on_clean_common,test,25948,329,0.18007900406746438,0.05102238877709652,0.05622752866007113,0.3741401935381304
new_alpha18_resid_common_with_old,new_alpha18_resid,test,25948,329,0.18007900406746438,-0.0251662709368317,0.0038678331105348666,0.026689400066778876
new_alpha18_resid_common_with_old,old_on_clean_common,validation,40504,484,0.19429351234336084,0.019312288055548587,0.023360296970495874,0.15465987736200623
new_alpha18_resid_common_with_old,new_alpha18_resid,validation,40504,484,0.19429351234336084,0.008994194478742504,0.035852572621619797,0.24250924649600356
