run,split,year,days,avg_daily_n,ic_mean,icir,rank_ic_mean,rank_icir,rank_ic_positive_rate
old_full62,test,2025,243,87.35390946502058,0.04383241350687847,0.3056134936796802,0.04366554054117098,0.30518357220581704,0.5596707818930041
old_full62,test,2026,86,83.5813953488372,0.06950884097683127,0.42564376393033027,0.08480502778449096,0.6055566618143303,0.7441860465116279
old_full62,validation,2023,242,90.0,-0.002376473131942089,-0.015272896058065113,-0.011327565991081303,-0.07854174076502787,0.4628099173553719
old_full62,validation,2024,242,91.00413223140495,0.03933657150466266,0.2604481361617645,0.057800893005570904,0.42278386851223937,0.6818181818181818
legacy62_strictmask,test,2025,243,79.58847736625515,-0.0068603564140621845,-0.048206779222291704,0.00831190548757646,0.07179936648458433,0.5267489711934157
legacy62_strictmask,test,2026,86,76.86046511627907,0.017882239231114448,0.1146553978745819,0.042116565121603756,0.3017121826982579,0.6395348837209303
legacy62_strictmask,validation,2023,242,83.31404958677686,-0.0032975542371052433,-0.023887506109200127,0.01814758995159943,0.15151079818407567,0.5785123966942148
legacy62_strictmask,validation,2024,242,84.05371900826447,0.0423845861755619,0.30276981106041617,0.048874206836983486,0.39092221318461495,0.6487603305785123
new_alpha13,test,2025,243,87.60493827160494,0.005250991983700388,0.03132790857950563,0.03241766975852277,0.20643916102282453,0.5967078189300411
new_alpha13,test,2026,86,87.95348837209302,-0.026655614672356942,-0.14165032444874606,0.004353343610940011,0.0270120279196589,0.4883720930232558
new_alpha13,validation,2023,242,88.16115702479338,0.04343475579683799,0.27327390722954364,0.030405557375604648,0.19644192133846217,0.5537190082644629
new_alpha13,validation,2024,242,88.52892561983471,0.013744021461403876,0.08020687309510044,0.04015217651457131,0.24366780047215728,0.5991735537190083
new_alpha18_resid,test,2025,243,87.60493827160494,-0.0384603142707771,-0.20272362961784735,0.01919367900778018,0.13696147291831426,0.5596707818930041
new_alpha18_resid,test,2026,86,87.95348837209302,-0.05557750824821432,-0.3108687842787482,-0.034942848386144205,-0.23519268023230255,0.3488372093023256
new_alpha18_resid,validation,2023,242,88.16115702479338,-0.001553983492562035,-0.008065470336183567,0.04778077047280788,0.34419325415416596,0.6115702479338843
new_alpha18_resid,validation,2024,242,88.52892561983471,0.013138382551920007,0.0741931446703749,0.02936253176029038,0.19665851895986725,0.6033057851239669
