run,split,k,top_mean,bottom_mean,spread,spread_ir,spread_positive_rate,quantile_high_minus_low
new_alpha13,test,10,-0.001954201608249381,7.253671055242114e-05,-0.002026738318801802,-0.049411244189534,0.48024316109422494,-0.0012913391645568723
new_alpha13,test,20,-0.002367632080514039,-0.0005983184381458189,-0.0017693136423682203,-0.05771202316697463,0.48936170212765956,-0.0012913391645568723
new_alpha13,test,30,-0.002905201602684802,-0.00039733138966330223,-0.0025078702130214995,-0.10613863882250268,0.46200607902735563,-0.0012913391645568723
new_alpha13,validation,10,-0.0001838816226289746,-0.0036665698272440187,0.003482688204615044,0.10427711578872093,0.5227272727272727,0.004209557447139298
new_alpha13,validation,20,-0.0005790162541803166,-0.0021434715348815107,0.001564455280701194,0.06936671512433484,0.5351239669421488,0.004209557447139298
new_alpha13,validation,30,-0.0007081111571641644,-0.0019188341140206342,0.0012107229568564697,0.06892795748383523,0.5041322314049587,0.004209557447139298
new_alpha18_resid,test,10,-0.0012800679230518671,0.003841705364789948,-0.005121773287841815,-0.12386226083005254,0.425531914893617,-0.006118368701457763
new_alpha18_resid,test,20,-0.001790059908912042,0.0022183970425936634,-0.0040084569515057055,-0.14126449863529214,0.4194528875379939,-0.006118368701457763
new_alpha18_resid,test,30,-0.002390043566197648,0.0011309869092202935,-0.003521030475417941,-0.15102908029876366,0.44984802431610943,-0.006118368701457763
new_alpha18_resid,validation,10,0.0008381916056035055,-0.0019345844354597642,0.0027727760410632698,0.08702633529599382,0.5495867768595041,0.002569485109609762
new_alpha18_resid,validation,20,0.0008055757350481776,-0.0017756887552445545,0.002581264490292732,0.11588670885765907,0.5681818181818182,0.002569485109609762
new_alpha18_resid,validation,30,2.7091744560636492e-05,-0.0016604677025479158,0.0016875594471085524,0.09394295443333255,0.5723140495867769,0.002569485109609762
old_full62,test,10,0.0013917711784385178,-0.007689503695681163,0.009081274874119681,0.24439585705903796,0.6291793313069909,0.009266972966169911
old_full62,test,20,0.00020858356003102132,-0.006785606748382363,0.006994190308413384,0.29501515856636157,0.6322188449848024,0.009266972966169911
old_full62,test,30,-8.235439094690162e-05,-0.0063823471564125826,0.006299992765465681,0.33521098378269215,0.6474164133738601,0.009266972966169911
old_full62,validation,10,0.0009813638113388707,-0.0023750716600036016,0.0033564354713424725,0.12078980275996189,0.5516528925619835,0.0032861908505404523
old_full62,validation,20,-0.0004906251257005141,-0.002457109563001422,0.001966484437300908,0.09662770365498892,0.5475206611570248,0.0032861908505404523
old_full62,validation,30,-0.0005405279314063666,-0.0014563944062141042,0.0009158664748077375,0.05101590066431456,0.5413223140495868,0.0032861908505404523
