"split","k","keep","net_ann","excess_bench_ann","excess_exec_univ_ann","maxdd","win_rate","desired_turnover","filled_turnover","avg_buy_reject","avg_sell_reject","avg_partial_fill","avg_positions"
"test","10","1.5","0.7166922102450297","0.09014943309494905","0.20059815774665246","-0.2008687330976895","0.6060606060606061","1.6624855987363831","0.14282620534490553","0.015151515151515152","1.5","23.242424242424242","25.0"
"test","10","1","0.6898193315254879","0.07226761221070466","0.18130216341824879","-0.19757079952382273","0.6060606060606061","1.7653710062374453","0.14468327005295215","0.015151515151515152","1.8484848484848484","23.242424242424242","25.242424242424242"
"test","30","3","0.6476964302875257","0.039308316355477046","0.1488717386726992","-0.19868061873361997","0.7121212121212122","0.30506566718761624","0.04127875559735903","0.015151515151515152","4.409090909090909","11.954545454545455","34.59090909090909"
"test","10","2","0.6149920379249347","0.020302137497550277","0.1252587918134931","-0.19720396399197793","0.6060606060606061","1.5384811996037178","0.13195139859776076","0.015151515151515152","1.8484848484848484","22.151515151515152","24.439393939393938"
"test","10","3","0.5793938667151177","-0.000465748020504142","0.10179215173891842","-0.20093992694272922","0.6212121212121212","1.3438787614672156","0.10973830825222167","0.015151515151515152","1.1515151515151516","19.863636363636363","21.666666666666668"
"test","30","1","0.5420458208788874","-0.02483947705022127","0.07840792681894793","-0.19071697876852556","0.6212121212121212","1.3438902915088042","0.22005334143911576","0.030303030303030304","7.833333333333333","53.31818181818182","64.5909090909091"
"test","30","2","0.4754289678861199","-0.07267127844869337","0.026350206378779273","-0.19148306656058167","0.6515151515151515","0.7528820275971011","0.1109465431066556","0.030303030303030304","6.151515151515151","31.757575757575758","46.04545454545455"
"test","30","1.5","0.430454928234105","-0.10053762210906902","-0.0036774159603144563","-0.18852402180770889","0.6060606060606061","1.0064423437890002","0.1517286687565633","0.015151515151515152","5.106060606060606","42.75757575757576","53.42424242424242"
"test","20","2","0.4106330515086476","-0.11090049279131675","-0.0158891790721315","-0.19243309603542014","0.6212121212121212","1.1831664283332868","0.1434055826328291","0.015151515151515152","3.712121212121212","32.10606060606061","38.24242424242424"
"test","20","1.5","0.37693466388105223","-0.131037701934812","-0.03908571702119812","-0.18872757467168233","0.6212121212121212","1.4005509064987858","0.16840622512443273","0.015151515151515152","3.5","37.34848484848485","42.39393939393939"
"test","20","3","0.35672343885949465","-0.14973089786628924","-0.05909484044255109","-0.17550350399098902","0.6666666666666666","0.868238350788979","0.08874079242911889","0.015151515151515152","3.0","23.166666666666668","29.939393939393938"
"test","20","1","0.3119373703711119","-0.1691433489832891","-0.08410829547921572","-0.18668291378563795","0.5454545454545454","1.635702294299431","0.19894446008995564","0.015151515151515152","3.621212121212121","39.484848484848484","44.45454545454545"
"validation","30","3","-0.16605716614081545","-0.15784479182554167","-0.08686398061544509","-0.500939837139031","0.4536082474226804","0.2509569440138788","0.02323772364015117","0.020618556701030927","2.618556701030928","12.783505154639176","33.123711340206185"
"validation","30","1.5","-0.19190106081172642","-0.1822373498145915","-0.11315789836325985","-0.5462774604124292","0.4020618556701031","1.0384317443014899","0.07649228339878573","0.030927835051546393","5.65979381443299","47.58762886597938","58.02061855670103"
"validation","30","1","-0.20365294896939945","-0.19209280954078778","-0.1240525361380459","-0.556539469354777","0.4329896907216495","1.4150918307779596","0.10432854280669662","0.020618556701030927","9.082474226804123","59.371134020618555","70.34020618556701"
"validation","30","2","-0.21326680223861494","-0.20269639645950854","-0.13513941115585348","-0.5636783187067198","0.3917525773195876","0.7596886896141546","0.05830409389346235","0.020618556701030927","6.463917525773196","35.628865979381445","49.56701030927835"
"validation","20","3","-0.22048929081769264","-0.20918673272668042","-0.1429022636730416","-0.5649618814231689","0.4020618556701031","0.722235373854956","0.0460802579715601","0.010309278350515464","2.185567010309278","23.31958762886598","30.783505154639176"
"validation","20","2","-0.2270547450759408","-0.21408650149038455","-0.14825613448608332","-0.5699310492824214","0.41237113402061853","1.1531807224043233","0.06475663902981847","0.020618556701030927","3.783505154639175","34.77319587628866","41.05154639175258"
"validation","20","1.5","-0.23021806959532887","-0.21843768195441549","-0.15295474039293722","-0.5733321629581465","0.41237113402061853","1.4039351353357696","0.07510565026122756","0.010309278350515464","4.824742268041237","40.381443298969074","46.24742268041237"
"validation","20","1","-0.23615691116358306","-0.22403097624182944","-0.15942100483499444","-0.5813795208516821","0.422680412371134","1.6217569389962387","0.08856601622932216","0.010309278350515464","5.721649484536083","43.77319587628866","50.0"
"validation","10","3","-0.24653526687778127","-0.23584414402615073","-0.1725151347660282","-0.5810279023603846","0.422680412371134","1.3362196398567068","0.03861922124292644","0.010309278350515464","1.309278350515464","20.34020618556701","22.11340206185567"
"validation","10","1","-0.25091163693978447","-0.2419734184210408","-0.1794004511298155","-0.5841191452955767","0.422680412371134","1.776518777405323","0.04798690625158696","0.0","2.9072164948453607","23.690721649484537","26.649484536082475"
"validation","10","1.5","-0.25140527910442734","-0.24217078377541035","-0.17961996462299668","-0.5846632645639543","0.422680412371134","1.6793603441459637","0.046814401155620085","0.010309278350515464","1.5257731958762886","23.195876288659793","24.8659793814433"
"validation","10","2","-0.2569482303174615","-0.24735339020920688","-0.18512796513955232","-0.5906173557279768","0.422680412371134","1.5389188397397617","0.04397052131935821","0.010309278350515464","1.309278350515464","22.123711340206185","23.63917525773196"
